handle               # matches    rating       vol
liehuochongsheng            10      1908       708
moondy                      13      1761       243
asmn                        12      1711       480
navi                        13      1692       279
Ouyang_Jialin               11      1549       569
Fanazhe                     13      1524       246
jay23jack                   12      1483       523
czy                         13      1395       380
EZdestroyer                 13      1304       323
hsys                        13      1227       523
winsty                      12      1212       276
quark                       13      1187       378
owen200104                  12      1145       361
aaahexing                   13      1122       205
dd_engi                      9      1097       573
pxhdg                       13      1043       360
happylinyue                  9      1028       563
icyrhyme                    13      1008       267
sxstar                      13      1004       326
clocy                       13       961       188
classT                       9       897       512
fatso                       13       848       297
smallchen                   12       824       320
milki                        6       684       243
forestkeeper                11       677       213
