handle               # matches    rating       vol
anotherpeg                  12      2455       202
t__nt                       12      1976       291
moondy                      12      1862       209
navi                        12      1797       229
asmn                        12      1700       332
oldjunyi                    12      1681       148
czy                         11      1367       317
Fanazhe                     12      1317       254
sxstar                      12      1228       241
liangjiaxing                12      1211       384
quark                       12      1201       468
Ufotalent                   11      1091       327
vout                        12      1046       273
zykpeter                    12      1042       319
ployee                      12      1017       234
huangqiao                   12       978       269
pxhdg                       12       946       223
icyrhyme                    12       934       436
Clark                       12       909       345
forestkeeper                12       891       270
yaac                        12       813       318
delta_4d                    11       781       244
xusc_2010                   12       577       351
yuxingdubai                 12       511       289
jessie                       4       352       283
